lat,lon,clay,silt,sand,soc,ph
41.686,-93.574,335.1666667,477.5,187.3333333,113.0,6.6
42.386,-95.105,389.0,546.8333333,64.33333333,137.3333333,6.6
42.036,-92.999,374.8333333,508.8333333,116.3333333,125.5,6.383333333
42.471,-91.367,318.0,416.3333333,265.3333333,127.0,5.866666667
40.748,-92.41,408.3333333,528.5,63.0,101.0,6.133333333
43.06,-92.789,304.1666667,389.1666667,306.5,159.3333333,6.683333333
41.685,-94.906,374.6666667,568.5,57.0,131.8333333,6.5
42.121,-91.131,266.0,594.1666667,139.6666667,142.6666667,6.316666667
41.686,-93.054,353.3333333,530.6666667,116.0,132.1666667,6.316666667
42.738,-96.214,338.8333333,547.3333333,113.8333333,145.8333333,7.2
43.082,-93.734,256.0,385.0,359.1666667,163.1666667,6.983333333
42.469,-90.883,331.6666667,597.3333333,71.16666667,186.1666667,6.2
42.08,-92.066,376.1666667,479.8333333,144.0,125.8333333,6.366666667
42.079,-91.599,278.8333333,486.8333333,234.6666667,120.6666667,6.2
41.033,-95.621,328.5,596.3333333,75.5,115.8333333,6.7
41.685,-94.04,396.5,529.5,74.16666667,154.6666667,6.883333333
40.753,-91.95,370.3333333,586.5,43.16666667,107.6666667,6.116666667
41.672,-91.588,336.5,593.1666667,70.33333333,163.6666667,5.983333333
41.03,-95.156,427.6666667,515.6666667,56.5,120.1666667,6.316666667
42.384,-93.24,281.0,458.1666667,261.1666667,123.3333333,6.533333333
40.737,-94.696,444.8333333,449.0,106.1666667,103.8333333,6.416666667
40.739,-95.15,406.3333333,514.3333333,79.5,118.5,6.516666667
42.736,-95.624,335.0,566.5,98.5,137.5,6.8
40.923,-91.181,321.6666667,633.6666667,44.66666667,118.0,6.283333333
41.637,-90.623,289.6666667,651.0,59.16666667,168.8333333,6.2
40.642,-91.479,306.8333333,578.0,115.3333333,134.0,6.166666667
40.746,-95.605,281.5,639.1666667,79.5,121.0,7.0
41.686,-92.066,346.3333333,531.3333333,122.3333333,132.0,6.233333333
42.732,-92.79,268.1666667,436.3333333,295.3333333,129.8333333,6.6
43.378,-94.678,281.3333333,376.1666667,342.6666667,220.5,7.25
42.39,-96.045,309.5,614.1666667,76.33333333,128.6666667,7.083333333
43.083,-95.151,351.8333333,403.0,245.3333333,160.8333333,6.933333333
42.037,-95.382,333.3333333,479.8333333,186.6666667,132.3333333,6.816666667
42.471,-91.838,232.3333333,320.5,447.1666667,120.8333333,6.216666667
43.38,-96.21,355.6666667,559.1666667,85.33333333,164.5,6.8
41.029,-94.699,408.3333333,467.3333333,124.1666667,129.6666667,6.65
42.052,-95.96,314.6666667,599.0,86.5,170.6666667,6.633333333
42.776,-94.207,193.5,283.3333333,523.1666667,169.6666667,7.233333333
41.219,-91.26,354.1666667,542.5,103.5,137.3333333,6.2
42.08,-92.533,367.3333333,535.6666667,97.33333333,134.6666667,6.233333333
41.03,-92.869,361.3333333,551.3333333,87.5,160.6666667,5.966666667
41.484,-91.113,322.3333333,599.5,78.0,146.1666667,6.033333333
41.029,-93.328,418.5,511.1666667,70.5,129.8333333,6.183333333
42.384,-93.707,332.3333333,358.0,309.5,151.0,6.533333333
42.733,-93.262,346.8333333,458.3333333,194.6666667,148.1666667,6.65
42.775,-92.318,232.1666667,298.5,470.0,136.3333333,6.416666667
